=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:18 | Chunk #85    | Streamed: 84.5 KB | loss      : 0.080776 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #86    | Streamed: 85.5 KB | loss      : 0.069318 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #87    | Streamed: 86.5 KB | loss      : 0.032660 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:19 | Chunk #88    | Streamed: 87.5 KB | loss      : 0.192789 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0023  observed 0.0023  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:19 | Chunk #89    | Streamed: 88.5 KB | loss      : 0.045941 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #90    | Streamed: 89.5 KB | loss      : 0.160023 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0021  observed 0.0021  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #91    | Streamed: 90.5 KB | loss      : 0.079626 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0013  gap 0.0001  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #92    | Streamed: 91.5 KB | loss      : 0.079312 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #93    | Streamed: 92.5 KB | loss      : 0.049577 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #94    | Streamed: 93.5 KB | loss      : 0.169542 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0025  observed 0.0026  gap 0.0001  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #95    | Streamed: 94.5 KB | loss      : 0.105648 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0015  observed 0.0016  gap 0.0001  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #96    | Streamed: 95.5 KB | loss      : 0.080433 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #97    | Streamed: 96.5 KB | loss      : 0.122107 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0014  observed 0.0014  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:19 | Chunk #98    | Streamed: 97.5 KB | loss      : 0.217024 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0019  observed 0.0020  gap 0.0001  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #99    | Streamed: 98.5 KB | loss      : 0.101900 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #100   | Streamed: 99.5 KB | loss      : 0.000022 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0002  observed 0.0002  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #101   | Streamed: 100.5 KB | loss      : 0.126055 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #102   | Streamed: 101.5 KB | loss      : 0.050850 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #103   | Streamed: 102.4 KB | loss      : 0.034297 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #104   | Streamed: 103.4 KB | loss      : 0.095336 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0011  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #105   | Streamed: 104.4 KB | loss      : 0.064420 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #106   | Streamed: 105.4 KB | loss      : 0.000022 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0002  observed 0.0002  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #107   | Streamed: 105.8 KB | loss      : 0.019001 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:20 | Chunk #108   | Streamed: 106.8 KB | loss      : 0.126791 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0013  observed 0.0014  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #109   | Streamed: 107.8 KB | loss      : 0.065733 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #110   | Streamed: 108.8 KB | loss      : 0.000022 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0002  observed 0.0002  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #111   | Streamed: 109.8 KB | loss      : 0.256883 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0022  observed 0.0022  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #112   | Streamed: 110.8 KB | loss      : 0.018550 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0003  observed 0.0003  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #113   | Streamed: 111.8 KB | loss      : 0.053556 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #114   | Streamed: 112.8 KB | loss      : 0.198411 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0022  observed 0.0022  gap 0.0001  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #115   | Streamed: 113.8 KB | loss      : 0.035027 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #116   | Streamed: 114.8 KB | loss      : 0.086497 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0007  observed 0.0008  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #117   | Streamed: 115.8 KB | loss      : 0.178230 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0019  observed 0.0019  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #118   | Streamed: 116.8 KB | loss      : 0.031275 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0005  observed 0.0005  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
[00:50:21 | Chunk #119   | Streamed: 117.8 KB | loss      : 0.044229 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0007  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 19.8 мин
